'Titulo','Direção','Nota','Link','Ano','Categoria'
'O Poderoso Chefão','N/A','4.8','https://www.adorocinema.com/filmes/filme-1628/','24 de março de 1972','N, /, A'
'A Lista de Schindler','N/A','3.9','https://www.adorocinema.com/filmes/filme-9393/','31 de dezembro de 1993','N, /, A'
'Um Sonho de Liberdade','N/A','4.8','https://www.adorocinema.com/filmes/filme-11736/','25 de janeiro de 1995','N, /, A'
'Forrest Gump - O Contador de Histórias','N/A','4.7','https://www.adorocinema.com/filmes/filme-10568/','7 de dezembro de 1994','N, /, A'
'O Rei Leão','N/A','4.7','https://www.adorocinema.com/filmes/filme-10862/','8 de julho de 1994','N, /, A'
'À Espera de um Milagre','N/A','4.7','https://www.adorocinema.com/filmes/filme-22779/','10 de março de 2000','N, /, A'
'O Senhor dos Anéis - O Retorno do Rei','N/A','4.7','https://www.adorocinema.com/filmes/filme-39187/','25 de dezembro de 2003','N, /, A'
'Batman - O Cavaleiro Das Trevas','N/A','4.7','https://www.adorocinema.com/filmes/filme-115362/','18 de julho de 2008','N, /, A'
'Vingadores: Ultimato','N/A','3.9','https://www.adorocinema.com/filmes/filme-232669/','25 de abril de 2019','N, /, A'
'Vingadores: Guerra Infinita','N/A','3.6','https://www.adorocinema.com/filmes/filme-218265/','26 de abril de 2018','N, /, A'
'O Poderoso Chefão 2','N/A','4.7','https://www.adorocinema.com/filmes/filme-28201/','20 de dezembro de 1974','N, /, A'
'O Auto da Compadecida','N/A','4.7','https://www.adorocinema.com/filmes/filme-120824/','10 de setembro de 2000','N, /, A'
'O Resgate do Soldado Ryan','N/A','4.7','https://www.adorocinema.com/filmes/filme-18598/','11 de setembro de 1998','N, /, A'
'Viva - A Vida é uma Festa','N/A','3.7','https://www.adorocinema.com/filmes/filme-206775/','4 de janeiro de 2018','N, /, A'
'De Volta para o Futuro','N/A','4.7','https://www.adorocinema.com/filmes/filme-448/','25 de dezembro de 1985','N, /, A'
'Gladiador','N/A','4.7','https://www.adorocinema.com/filmes/filme-24944/','19 de maio de 2000','N, /, A'
'Django Livre','N/A','4.3','https://www.adorocinema.com/filmes/filme-190918/','18 de janeiro de 2013','N, /, A'
'O Silêncio dos Inocentes','N/A','4.6','https://www.adorocinema.com/filmes/filme-6641/','17 de maio de 1991','N, /, A'
'O Senhor dos Anéis - A Sociedade do Anel','N/A','4.6','https://www.adorocinema.com/filmes/filme-27070/','1 de janeiro de 2002','N, /, A'
'O Senhor dos Anéis - As Duas Torres','N/A','4.6','https://www.adorocinema.com/filmes/filme-39186/','27 de dezembro de 2002','N, /, A'
